name,artist,duration_min,explicit
Feather,Sabrina Carpenter,3.1,False
Blinding Lights,The Weeknd,3.2,False
Cruel Summer,Taylor Swift,2.9,False
7 rings,Ariana Grande,2.8,True
Lush Life,Zara Larsson,3.2,False
Style,Taylor Swift,3.5,False
Into You,Ariana Grande,3.3,False
Save Your Tears,The Weeknd,3.4,False
Ruin My Life,Zara Larsson,3.1,False
Delicate,Taylor Swift,3.4,False
Positions,Ariana Grande,3.0,False
Call Out My Name,The Weeknd,3.6,False
Love Me Land,Zara Larsson,3.3,False
Bejeweled,Taylor Swift,3.2,False
Greedy,Ariana Grande,3.4,False
All the Time,Zara Larsson,3.0,False
Die For You,The Weeknd,3.5,False
Please Please Please,Sabrina Carpenter,3.0,False
